nodes,edges,density,similarity_with_previous,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter,errors,mean_error,errors_per_iter
7716,11410810,0.0023445322,0.14878686964795432,7,105,5,11,5267,4222,"[4209, 12, 761, 0, 198, 0, 71, 0, 14, 0, 2]","[193, 0, 5, 0, 3, 0, 2, 0, 0, 0, 0]",2,1,13.247619047619047
7716,11410810,0.008520299,0.9567064768029399,7,105,5,13,679,396,"[340, 49, 173, 0, 80, 0, 30, 0, 5, 0, 1, 0, 1]","[21, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",4,1,13.247619047619047
7716,11410810,0.0084504355,0.9521348314606741,7,105,5,9,593,366,"[317, 36, 145, 3, 67, 0, 24, 0, 1]","[21, 0, 2, 0, 1, 0, 0, 0, 0]",7,1,13.247619047619047
7716,11410810,0.0084126005,0.9605322003577818,7,105,5,9,554,347,"[293, 41, 131, 0, 70, 0, 12, 0, 7]","[17, 1, 2, 0, 2, 0, 0, 0, 0]",14,1,13.247619047619047
7716,11410810,0.008400805,0.9532556093268808,7,105,5,9,567,351,"[297, 44, 137, 0, 69, 0, 18, 0, 2]","[20, 1, 2, 0, 2, 0, 2, 0, 0]",20,1,13.247619047619047
7716,11410810,0.008332227,0.9501298139333622,7,105,5,9,547,338,"[294, 39, 134, 0, 61, 0, 18, 0, 1]","[16, 0, 1, 0, 1, 0, 0, 0, 0]",28,1,13.247619047619047
7716,11410810,0.008218373,0.947407883461868,7,105,5,9,573,345,"[292, 48, 143, 0, 71, 0, 17, 0, 2]","[19, 1, 2, 0, 2, 0, 0, 0, 0]",32,1,13.247619047619047
7716,11410810,0.008192443,0.9580652080652081,7,105,5,9,530,334,"[281, 39, 127, 0, 57, 0, 20, 0, 6]","[18, 1, 2, 0, 2, 0, 1, 0, 0]",26,1,13.247619047619047
7716,11410810,0.008114639,0.9535824550196955,7,105,5,9,494,304,"[252, 43, 108, 0, 57, 0, 29, 0, 5]","[17, 1, 2, 0, 1, 0, 1, 0, 0]",28,1,13.247619047619047
7716,11410810,0.008038738,0.9539633823685046,7,105,5,9,588,361,"[304, 49, 144, 1, 75, 0, 14, 0, 1]","[19, 1, 2, 0, 2, 0, 1, 0, 0]",26,1,13.247619047619047
7716,11410810,0.007994235,0.9550561797752809,7,105,5,9,568,345,"[301, 38, 138, 0, 61, 0, 24, 0, 6]","[20, 0, 2, 0, 1, 0, 1, 0, 0]",23,1,13.247619047619047
7716,11410810,0.007955551,0.9478951712752786,7,105,5,9,729,428,"[392, 34, 203, 0, 74, 0, 23, 0, 3]","[32, 1, 3, 0, 2, 0, 1, 0, 0]",25,1,13.247619047619047
7716,11410810,0.007982994,0.9539386528075002,7,105,5,9,520,314,"[278, 30, 131, 1, 59, 0, 20, 0, 1]","[21, 0, 2, 0, 2, 0, 1, 0, 0]",22,1,13.247619047619047
7716,11410810,0.007903415,0.9529578033515042,7,105,5,9,600,359,"[299, 47, 147, 1, 75, 0, 29, 0, 2]","[21, 1, 2, 0, 2, 0, 1, 0, 0]",20,1,13.247619047619047
7716,11410810,0.0076831942,0.9498404467491025,7,105,5,15,628,379,"[330, 46, 132, 1, 71, 0, 21, 0, 7, 0, 6, 0, 10, 0, 4]","[25, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19,1,13.247619047619047
7716,11410810,0.0076041757,0.9481752546731282,7,105,5,11,593,359,"[305, 43, 140, 1, 67, 0, 17, 0, 14, 0, 6]","[24, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0]",21,1,13.247619047619047
7716,11410810,0.007553292,0.9505564857677534,7,105,5,13,647,387,"[323, 48, 148, 0, 82, 0, 21, 0, 12, 0, 11, 0, 2]","[23, 1, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",20,1,13.247619047619047
7716,11410810,0.007485792,0.9511693903513064,7,105,5,15,640,368,"[319, 40, 151, 1, 77, 0, 24, 0, 13, 0, 11, 0, 3, 0, 1]","[23, 1, 3, 0, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",24,1,13.247619047619047
7716,11410810,0.0074816532,0.9540532630962832,7,105,5,13,686,413,"[355, 48, 163, 2, 73, 0, 18, 0, 8, 0, 15, 0, 4]","[25, 1, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",21,1,13.247619047619047
7716,11410810,0.0074018277,0.9582728240875206,7,105,5,13,622,380,"[317, 44, 149, 1, 72, 0, 15, 0, 12, 0, 10, 0, 2]","[23, 1, 3, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",28,1,13.247619047619047
7716,11410810,0.007404733,0.9578654381418562,7,105,5,9,581,344,"[287, 46, 137, 1, 72, 0, 30, 0, 8]","[23, 1, 3, 0, 2, 0, 1, 0, 1]",27,1,13.247619047619047
7716,11410810,0.0073071984,0.9541599161345659,7,105,5,7,543,350,"[297, 40, 125, 0, 64, 0, 17]","[21, 1, 2, 0, 2, 0, 1]",24,1,13.247619047619047
7716,11410810,0.0072398046,0.9542173252279635,7,105,5,9,569,358,"[302, 39, 137, 3, 62, 0, 25, 0, 1]","[25, 1, 3, 0, 2, 0, 1, 0, 0]",26,1,13.247619047619047
7716,11410810,0.007180681,0.9518751762383683,7,105,5,9,750,462,"[388, 60, 179, 2, 95, 0, 22, 0, 4]","[26, 1, 3, 0, 2, 0, 1, 0, 0]",26,1,13.247619047619047
7716,11410810,0.0072190547,0.9483108731770352,7,105,5,13,698,390,"[344, 38, 185, 0, 72, 0, 31, 0, 18, 0, 8, 0, 2]","[27, 1, 3, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0]",22,1,13.247619047619047
7716,11410810,0.006799384,0.9520897974082861,7,105,5,11,762,456,"[381, 56, 172, 3, 96, 0, 36, 0, 14, 0, 4]","[26, 1, 3, 0, 3, 0, 2, 0, 1, 0, 0]",23,1,13.247619047619047
